Latitude and Longitude,Class of Land
"(10.00849223929746, 105.6717962720094)",Non Rice
"(10.01167184110508, 105.67225050083903)",Non Rice
"(10.011217612275422, 105.67225050083903)",Non Rice
"(10.010763383445761, 105.67225050083903)",Non Rice
"(10.0103091546161, 105.67225050083903)",Non Rice
"(10.009854925786442, 105.67225050083903)",Non Rice
"(10.009400696956781, 105.67225050083903)",Non Rice
"(10.008946468127121, 105.67225050083903)",Non Rice
"(10.00849223929746, 105.67225050083903)",Non Rice
"(10.008038010467802, 105.67225050083903)",Non Rice
"(10.012580298764401, 105.67270472966868)",Non Rice
"(10.012126069934741, 105.67270472966868)",Non Rice
"(10.01167184110508, 105.67270472966868)",Non Rice
"(10.011217612275422, 105.67270472966868)",Non Rice
"(10.010763383445761, 105.67270472966868)",Non Rice
"(10.0103091546161, 105.67270472966868)",Non Rice
"(10.009854925786442, 105.67270472966868)",Non Rice
"(10.009400696956781, 105.67270472966868)",Non Rice
"(10.008946468127121, 105.67270472966868)",Non Rice
"(10.00849223929746, 105.67270472966868)",Non Rice
"(10.008038010467802, 105.67270472966868)",Non Rice
"(10.007583781638141, 105.67270472966868)",Non Rice
"(10.013034527594062, 105.6731589584983)",Non Rice
"(10.012580298764401, 105.6731589584983)",Non Rice
"(10.012126069934741, 105.6731589584983)",Non Rice
"(10.01167184110508, 105.6731589584983)",Non Rice
"(10.011217612275422, 105.6731589584983)",Non Rice
"(10.010763383445761, 105.6731589584983)",Non Rice
"(10.0103091546161, 105.6731589584983)",Non Rice
"(10.009854925786442, 105.6731589584983)",Non Rice
"(10.009400696956781, 105.6731589584983)",Non Rice
"(10.008946468127121, 105.6731589584983)",Non Rice
"(10.00849223929746, 105.6731589584983)",Non Rice
"(10.008038010467802, 105.6731589584983)",Non Rice
"(10.007583781638141, 105.6731589584983)",Non Rice
"(10.013942985253381, 105.67361318732796)",Non Rice
"(10.01348875642372, 105.67361318732796)",Non Rice
"(10.013034527594062, 105.67361318732796)",Non Rice
"(10.012580298764401, 105.67361318732796)",Non Rice
"(10.012126069934741, 105.67361318732796)",Non Rice
